gene	gene_id	lof.oe_ci.upper	is_constrained
DAZAP1	ENSG00000071626	0.236	TRUE
DAZAP2	ENSG00000183283	0.457	FALSE
DAZL	ENSG00000092345	0.2	TRUE
DBF4	ENSG00000006634	0.475	FALSE
DBF4B	ENSG00000161692	1.003	FALSE
DBH	ENSG00000123454	0.936	FALSE
DBI	ENSG00000155368	1.75	FALSE
DBN1	ENSG00000113758	0.347	TRUE
DBNDD1	ENSG00000003249	1.46	FALSE
DBNDD2	ENSG00000244274	1.061	FALSE
DBNL	ENSG00000136279	0.782	FALSE
DBP	ENSG00000105516	1.043	FALSE
DBR1	ENSG00000138231	0.841	FALSE
DBT	ENSG00000137992	1.255	FALSE
DBX1	ENSG00000109851	0.98	FALSE
DBX2	ENSG00000185610	1.61	FALSE
DCAF1	ENSG00000145041	0.18	TRUE
DCAF10	ENSG00000122741	0.664	FALSE
DCAF11	ENSG00000100897	0.727	FALSE
DCAF12	ENSG00000198876	0.698	FALSE
DCAF13	ENSG00000164934	0.848	FALSE
DCAF15	ENSG00000132017	0.502	FALSE
DCAF16	ENSG00000163257	0.985	FALSE
DCAF17	ENSG00000115827	0.855	FALSE
DCAF4	ENSG00000119599	0.787	FALSE
DCAF4L1	ENSG00000182308	0.295	TRUE
DCAF4L2	ENSG00000176566	1.096	FALSE
DCAF5	ENSG00000139990	0.191	TRUE
DCAF6	ENSG00000143164	0.567	FALSE
DCAF7	ENSG00000136485	0.235	TRUE
DCAF8	ENSG00000132716	0.466	FALSE
DCAKD	ENSG00000172992	1.164	FALSE
DCANP1	ENSG00000251380	1.944	FALSE
DCBLD1	ENSG00000164465	0.942	FALSE
DCBLD2	ENSG00000057019	0.808	FALSE
DCC	ENSG00000187323	0.414	FALSE
DCD	ENSG00000161634	1.809	FALSE
DCDC1	ENSG00000170959	1.093	FALSE
DCDC2	ENSG00000146038	1.062	FALSE
DCDC2B	ENSG00000222046	1.383	FALSE
DCDC2C	ENSG00000214866	1.498	FALSE
DCHS1	ENSG00000166341	0.491	FALSE
DCHS2	ENSG00000197410	0.909	FALSE
DCK	ENSG00000156136	1.031	FALSE
DCLK1	ENSG00000133083	0.31	TRUE
DCLK2	ENSG00000170390	0.525	FALSE
DCLK3	ENSG00000163673	0.947	FALSE
DCLRE1A	ENSG00000198924	0.856	FALSE
DCLRE1B	ENSG00000118655	0.545	FALSE
DCLRE1C	ENSG00000152457	0.866	FALSE
DCN	ENSG00000011465	0.789	FALSE
DCP1A	ENSG00000272886	0.414	FALSE
DCP1B	ENSG00000151065	0.943	FALSE
DCP2	ENSG00000172795	0.793	FALSE
DCPS	ENSG00000110063	1	FALSE
DCST1	ENSG00000163357	1.032	FALSE
DCST2	ENSG00000163354	0.941	FALSE
DCSTAMP	ENSG00000164935	1.003	FALSE
DCT	ENSG00000080166	1.101	FALSE
DCTD	ENSG00000129187	1.924	FALSE
DCTN1	ENSG00000204843	0.448	FALSE
DCTN2	ENSG00000175203	0.54	FALSE
DCTN3	ENSG00000137100	1.176	FALSE
DCTN4	ENSG00000132912	0.549	FALSE
DCTN5	ENSG00000166847	0.899	FALSE
DCTN6	ENSG00000104671	0.575	FALSE
DCTPP1	ENSG00000179958	1.458	FALSE
DCUN1D1	ENSG00000043093	0.529	FALSE
DCUN1D2	ENSG00000150401	1.357	FALSE
DCUN1D3	ENSG00000188215	0.46	FALSE
DCUN1D4	ENSG00000109184	0.787	FALSE
DCUN1D5	ENSG00000137692	0.443	FALSE
DCXR	ENSG00000169738	1.362	FALSE
DDA1	ENSG00000130311	0.455	FALSE
DDAH1	ENSG00000153904	1.137	FALSE
DDAH2	ENSG00000213722	0.554	FALSE
DDB1	ENSG00000167986	0.195	TRUE
DDB2	ENSG00000134574	0.719	FALSE
DDC	ENSG00000132437	0.922	FALSE
DDHD1	ENSG00000100523	0.642	FALSE
DDHD2	ENSG00000085788	0.758	FALSE
DDI1	ENSG00000170967	1.337	FALSE
DDI2	ENSG00000197312	0.223	TRUE
DDIAS	ENSG00000165490	1.118	FALSE
DDIT3	ENSG00000175197	1.188	FALSE
DDIT4	ENSG00000168209	1.475	FALSE
DDIT4L	ENSG00000145358	1.266	FALSE
DDN	ENSG00000181418	1.166	FALSE
DDO	ENSG00000203797	1.282	FALSE
DDOST	ENSG00000244038	0.747	FALSE
DDR1	ENSG00000204580	0.808	FALSE
DDR2	ENSG00000162733	0.375	TRUE
DDRGK1	ENSG00000198171	1.213	FALSE
DDT	ENSG00000099977	1.926	FALSE
DDTL	ENSG00000099974	1.832	FALSE
DDX1	ENSG00000079785	0.33	TRUE
DDX10	ENSG00000178105	0.86	FALSE
DDX11	ENSG00000013573	0.781	FALSE
DDX17	ENSG00000100201	0.252	TRUE
DDX18	ENSG00000088205	0.496	FALSE
DDX19A	ENSG00000168872	0.36	TRUE
DDX19B	ENSG00000157349	0.635	FALSE
DDX20	ENSG00000064703	0.965	FALSE
DDX21	ENSG00000165732	0.29	TRUE
DDX23	ENSG00000174243	0.412	FALSE
DDX24	ENSG00000089737	0.521	FALSE
DDX25	ENSG00000109832	1.348	FALSE
DDX27	ENSG00000124228	0.528	FALSE
DDX28	ENSG00000182810	1.261	FALSE
DDX31	ENSG00000125485	0.902	FALSE
DDX39A	ENSG00000123136	0.455	FALSE
DDX39B	ENSG00000198563	0.219	TRUE
DDX4	ENSG00000152670	0.34	TRUE
DDX41	ENSG00000183258	0.768	FALSE
DDX42	ENSG00000198231	0.297	TRUE
DDX43	ENSG00000080007	0.787	FALSE
DDX46	ENSG00000145833	0.292	TRUE
DDX47	ENSG00000213782	1.312	FALSE
DDX49	ENSG00000105671	1.194	FALSE
DDX5	ENSG00000108654	0.177	TRUE
DDX50	ENSG00000107625	0.778	FALSE
DDX51	ENSG00000185163	1.265	FALSE
DDX52	ENSG00000278053	0.889	FALSE
DDX54	ENSG00000123064	0.821	FALSE
DDX55	ENSG00000111364	1.009	FALSE
DDX56	ENSG00000136271	0.905	FALSE
DDX58	ENSG00000107201	0.985	FALSE
DDX59	ENSG00000118197	0.864	FALSE
DDX6	ENSG00000110367	0.128	TRUE
DDX60	ENSG00000137628	0.857	FALSE
DDX60L	ENSG00000181381	1.037	FALSE
DEAF1	ENSG00000177030	1.18	FALSE
DECR1	ENSG00000104325	1.566	FALSE
DECR2	ENSG00000242612	1.731	FALSE
DEDD	ENSG00000158796	0.255	TRUE
DEDD2	ENSG00000160570	1.12	FALSE
DEF6	ENSG00000023892	0.61	FALSE
DEF8	ENSG00000140995	0.928	FALSE
DEFA3	ENSG00000239839	0.74	FALSE
DEFA4	ENSG00000164821	1.954	FALSE
DEFA5	ENSG00000164816	1.879	FALSE
DEFA6	ENSG00000164822	1.911	FALSE
DEFB1	ENSG00000164825	1.969	FALSE
DEFB104A	ENSG00000176782	NA	NA
DEFB105A	ENSG00000186562	1.566	FALSE
DEFB108B	ENSG00000184276	1.849	FALSE
DEFB110	ENSG00000203970	1.95	FALSE
DEFB112	ENSG00000180872	1.955	FALSE
DEFB113	ENSG00000214642	1.962	FALSE
DEFB114	ENSG00000177684	1.841	FALSE
DEFB115	ENSG00000215547	1.486	FALSE
DEFB116	ENSG00000215545	1.91	FALSE
DEFB118	ENSG00000131068	1.864	FALSE
DEFB119	ENSG00000180483	1.774	FALSE
DEFB121	ENSG00000204548	1.956	FALSE
DEFB123	ENSG00000180424	1.718	FALSE
DEFB124	ENSG00000180383	0.833	FALSE
DEFB125	ENSG00000178591	1.526	FALSE
DEFB126	ENSG00000125788	1.696	FALSE
DEFB127	ENSG00000088782	1.702	FALSE
DEFB128	ENSG00000185982	1.595	FALSE
DEFB129	ENSG00000125903	1.476	FALSE
DEFB131A	ENSG00000186146	1.909	FALSE
DEFB131B	ENSG00000225805	1.797	FALSE
DEFB132	ENSG00000186458	1.947	FALSE
DEFB134	ENSG00000205882	1.672	FALSE
DEFB135	ENSG00000205883	1.954	FALSE
DEFB136	ENSG00000205884	1.968	FALSE
DEFB4A	ENSG00000171711	1.85	FALSE
DEGS1	ENSG00000143753	1.051	FALSE
DEGS2	ENSG00000168350	1.125	FALSE
DEK	ENSG00000124795	0.768	FALSE
DELE1	ENSG00000081791	1.179	FALSE
DENND10	ENSG00000119979	1.082	FALSE
DENND11	ENSG00000257093	1.049	FALSE
DENND1A	ENSG00000119522	0.593	FALSE
DENND1B	ENSG00000213047	0.798	FALSE
DENND1C	ENSG00000205744	1.023	FALSE
DENND2A	ENSG00000146966	0.632	FALSE
DENND2B	ENSG00000166444	0.373	TRUE
DENND2C	ENSG00000175984	0.742	FALSE
DENND2D	ENSG00000162777	0.785	FALSE
DENND3	ENSG00000105339	0.805	FALSE
DENND4A	ENSG00000174485	0.443	FALSE
DENND4B	ENSG00000198837	0.527	FALSE
DENND4C	ENSG00000137145	0.59	FALSE
DENND5A	ENSG00000184014	0.574	FALSE
DENND5B	ENSG00000170456	0.351	TRUE
DENND6A	ENSG00000174839	0.708	FALSE
DENND6B	ENSG00000205593	1.212	FALSE
DENR	ENSG00000139726	0.57	FALSE
DEPDC1	ENSG00000024526	0.931	FALSE
DEPDC1B	ENSG00000035499	0.959	FALSE
DEPDC4	ENSG00000166153	1.415	FALSE
DEPDC5	ENSG00000100150	0.403	FALSE
DEPDC7	ENSG00000121690	0.986	FALSE
DEPP1	ENSG00000165507	1.774	FALSE
DEPTOR	ENSG00000155792	1.243	FALSE
DERA	ENSG00000023697	0.658	FALSE
DERL1	ENSG00000136986	0.737	FALSE
DERL2	ENSG00000072849	0.801	FALSE
DERL3	ENSG00000099958	1.414	FALSE
DERPC	ENSG00000286140	1.839	FALSE
DES	ENSG00000175084	0.81	FALSE
DESI1	ENSG00000100418	1.118	FALSE
DESI2	ENSG00000121644	0.811	FALSE
DET1	ENSG00000140543	0.692	FALSE
DEUP1	ENSG00000165325	1.08	FALSE
DEXI	ENSG00000182108	1.823	FALSE
DFFA	ENSG00000160049	0.784	FALSE
DFFB	ENSG00000169598	1.143	FALSE
DGAT1	ENSG00000185000	1.055	FALSE
DGAT2	ENSG00000062282	0.93	FALSE
DGCR2	ENSG00000070413	0.686	FALSE
DGCR6L	ENSG00000128185	1.119	FALSE
DGCR8	ENSG00000128191	0.27	TRUE
DGKA	ENSG00000065357	0.419	FALSE
DGKB	ENSG00000136267	0.755	FALSE
DGKD	ENSG00000077044	0.547	FALSE
DGKE	ENSG00000153933	0.995	FALSE
DGKG	ENSG00000058866	0.915	FALSE
DGKH	ENSG00000102780	0.689	FALSE
DGKI	ENSG00000157680	0.428	FALSE
DGKQ	ENSG00000145214	1.294	FALSE
DGKZ	ENSG00000149091	0.451	FALSE
DGLUCY	ENSG00000133943	1.215	FALSE
DGUOK	ENSG00000114956	1.115	FALSE
DHCR24	ENSG00000116133	0.597	FALSE
DHCR7	ENSG00000172893	1.087	FALSE
DHDDS	ENSG00000117682	0.536	FALSE
DHDH	ENSG00000104808	1.275	FALSE
DHFR	ENSG00000228716	0.994	FALSE
DHFR2	ENSG00000178700	1.32	FALSE
DHH	ENSG00000139549	0.999	FALSE
DHODH	ENSG00000102967	1.034	FALSE
DHPS	ENSG00000095059	0.824	FALSE
DHRS1	ENSG00000157379	1.202	FALSE
DHRS11	ENSG00000278535	0.907	FALSE
DHRS12	ENSG00000102796	1.239	FALSE
DHRS13	ENSG00000167536	1.894	FALSE
DHRS2	ENSG00000100867	1.4	FALSE
DHRS3	ENSG00000162496	0.79	FALSE
DHRS4	ENSG00000157326	1.043	FALSE
DHRS4L2	ENSG00000187630	1.306	FALSE
DHRS7	ENSG00000100612	1.292	FALSE
DHRS7B	ENSG00000109016	1.179	FALSE
DHRS7C	ENSG00000184544	1.297	FALSE
DHRS9	ENSG00000073737	0.951	FALSE
DHTKD1	ENSG00000181192	0.864	FALSE
DHX15	ENSG00000109606	0.156	TRUE
DHX16	ENSG00000204560	0.716	FALSE
DHX29	ENSG00000067248	0.578	FALSE
DHX30	ENSG00000132153	0.08	TRUE
DHX32	ENSG00000089876	0.919	FALSE
DHX33	ENSG00000005100	0.743	FALSE
DHX34	ENSG00000134815	1.047	FALSE
DHX35	ENSG00000101452	1.008	FALSE
DHX36	ENSG00000174953	0.401	FALSE
DHX37	ENSG00000150990	0.518	FALSE
DHX38	ENSG00000140829	0.752	FALSE
DHX40	ENSG00000108406	0.569	FALSE
DHX57	ENSG00000163214	0.742	FALSE
DHX58	ENSG00000108771	0.958	FALSE
DHX8	ENSG00000067596	0.554	FALSE
DHX9	ENSG00000135829	0.263	TRUE
DIABLO	ENSG00000184047	1.245	FALSE
DIAPH1	ENSG00000131504	0.367	TRUE
DIAPH3	ENSG00000139734	0.889	FALSE
DICER1	ENSG00000100697	0.275	TRUE
DIDO1	ENSG00000101191	0.235	TRUE
DIMT1	ENSG00000086189	1.113	FALSE
DIO1	ENSG00000211452	0.924	FALSE
DIO2	ENSG00000211448	1.286	FALSE
DIO3	ENSG00000197406	0.537	FALSE
DIP2A	ENSG00000160305	0.617	FALSE
DIP2B	ENSG00000066084	0.448	FALSE
DIP2C	ENSG00000151240	0.235	TRUE
DIPK1A	ENSG00000154511	1.244	FALSE
DIPK1B	ENSG00000165716	1.215	FALSE
DIPK1C	ENSG00000187773	1.882	FALSE
DIPK2A	ENSG00000181744	1.004	FALSE
DIRAS1	ENSG00000176490	0.907	FALSE
DIRAS2	ENSG00000165023	0.782	FALSE
DIRAS3	ENSG00000162595	1.84	FALSE
DIS3	ENSG00000083520	1.076	FALSE
DIS3L	ENSG00000166938	0.964	FALSE
DIS3L2	ENSG00000144535	0.468	FALSE
DISC1	ENSG00000162946	0.893	FALSE
DISP1	ENSG00000154309	1.028	FALSE
DISP2	ENSG00000140323	0.813	FALSE
DISP3	ENSG00000204624	0.886	FALSE
DIXDC1	ENSG00000150764	0.783	FALSE
DKK1	ENSG00000107984	1.101	FALSE
DKK2	ENSG00000155011	0.621	FALSE
DKK3	ENSG00000050165	0.955	FALSE
DKK4	ENSG00000104371	1.636	FALSE
DKKL1	ENSG00000104901	1.017	FALSE
DLAT	ENSG00000150768	0.759	FALSE
DLC1	ENSG00000164741	0.474	FALSE
DLD	ENSG00000091140	0.727	FALSE
DLEC1	ENSG00000008226	0.813	FALSE
DLEU7	ENSG00000186047	1.902	FALSE
DLG1	ENSG00000075711	0.491	FALSE
DLG2	ENSG00000150672	0.444	FALSE
DLG4	ENSG00000132535	0.151	TRUE
DLG5	ENSG00000151208	0.333	TRUE
DLGAP1	ENSG00000170579	0.224	TRUE
DLGAP2	ENSG00000198010	0.425	FALSE
DLGAP3	ENSG00000116544	0.367	TRUE
DLGAP4	ENSG00000080845	0.331	TRUE
DLGAP5	ENSG00000126787	1.112	FALSE
DLK1	ENSG00000185559	0.461	FALSE
DLK2	ENSG00000171462	0.526	FALSE
DLL1	ENSG00000198719	0.236	TRUE
DLL3	ENSG00000090932	1.512	FALSE
DLL4	ENSG00000128917	0.197	TRUE
DLST	ENSG00000119689	0.489	FALSE
DLX1	ENSG00000144355	0.546	FALSE
DLX2	ENSG00000115844	0.529	FALSE
DLX3	ENSG00000064195	0.559	FALSE
DLX4	ENSG00000108813	1.056	FALSE
DLX5	ENSG00000105880	0.498	FALSE
DLX6	ENSG00000006377	0.379	TRUE
DMAC1	ENSG00000137038	1.842	FALSE
DMAC2	ENSG00000105341	1.319	FALSE
DMAC2L	ENSG00000125375	1.315	FALSE
DMAP1	ENSG00000178028	0.691	FALSE
DMBT1	ENSG00000187908	0.904	FALSE
DMBX1	ENSG00000197587	0.407	FALSE
DMC1	ENSG00000100206	0.99	FALSE
DMGDH	ENSG00000132837	0.942	FALSE
DMKN	ENSG00000161249	1.044	FALSE
DMP1	ENSG00000152592	1.209	FALSE
DMPK	ENSG00000104936	0.67	FALSE
DMRT1	ENSG00000137090	0.432	FALSE
DMRT2	ENSG00000173253	1.279	FALSE
DMRT3	ENSG00000064218	1.273	FALSE
DMRTA1	ENSG00000176399	1.279	FALSE
DMRTA2	ENSG00000142700	1.236	FALSE
DMRTB1	ENSG00000143006	0.716	FALSE
DMRTC2	ENSG00000142025	0.521	FALSE
DMTF1	ENSG00000135164	0.539	FALSE
DMTN	ENSG00000158856	0.695	FALSE
DMWD	ENSG00000185800	0.65	FALSE
DMXL1	ENSG00000172869	0.359	TRUE
DMXL2	ENSG00000104093	0.36	TRUE
DNA2	ENSG00000138346	1.115	FALSE
DNAAF1	ENSG00000154099	1.135	FALSE
DNAAF10	ENSG00000243667	0.991	FALSE
DNAAF11	ENSG00000129295	1.018	FALSE
DNAAF2	ENSG00000165506	1.811	FALSE
DNAAF3	ENSG00000167646	1.139	FALSE
DNAAF4	ENSG00000256061	1.018	FALSE
DNAAF5	ENSG00000164818	1.12	FALSE
DNAAF8	ENSG00000166246	1.456	FALSE
DNAAF9	ENSG00000088854	0.752	FALSE
DNAH1	ENSG00000114841	0.759	FALSE
DNAH10	ENSG00000197653	0.763	FALSE
DNAH11	ENSG00000105877	0.912	FALSE
DNAH12	ENSG00000174844	0.827	FALSE
DNAH14	ENSG00000185842	0.969	FALSE
DNAH17	ENSG00000187775	0.859	FALSE
DNAH2	ENSG00000183914	0.655	FALSE
DNAH3	ENSG00000158486	0.834	FALSE
DNAH5	ENSG00000039139	0.764	FALSE
DNAH6	ENSG00000115423	0.75	FALSE
DNAH7	ENSG00000118997	0.961	FALSE
DNAH8	ENSG00000124721	0.692	FALSE
DNAH9	ENSG00000007174	0.775	FALSE
DNAI1	ENSG00000122735	0.854	FALSE
DNAI2	ENSG00000171595	0.966	FALSE
DNAI3	ENSG00000162643	0.879	FALSE
DNAI4	ENSG00000152763	0.862	FALSE
DNAI7	ENSG00000118307	1.282	FALSE
DNAJA1	ENSG00000086061	0.772	FALSE
DNAJA2	ENSG00000069345	0.258	TRUE
DNAJA3	ENSG00000103423	0.737	FALSE
DNAJA4	ENSG00000140403	1.024	FALSE
DNAJB1	ENSG00000132002	0.953	FALSE
DNAJB11	ENSG00000090520	0.933	FALSE
DNAJB12	ENSG00000148719	0.509	FALSE
DNAJB13	ENSG00000187726	0.9	FALSE
DNAJB14	ENSG00000164031	0.64	FALSE
DNAJB2	ENSG00000135924	0.836	FALSE
DNAJB4	ENSG00000162616	0.617	FALSE
DNAJB5	ENSG00000137094	0.605	FALSE
DNAJB6	ENSG00000105993	0.92	FALSE
DNAJB7	ENSG00000172404	1.85	FALSE
DNAJB8	ENSG00000179407	1.786	FALSE
DNAJB9	ENSG00000128590	0.964	FALSE
DNAJC1	ENSG00000136770	0.961	FALSE
DNAJC10	ENSG00000077232	1.076	FALSE
DNAJC11	ENSG00000007923	0.282	TRUE
DNAJC12	ENSG00000108176	1.193	FALSE
DNAJC13	ENSG00000138246	0.267	TRUE
DNAJC14	ENSG00000135392	0.272	TRUE
DNAJC15	ENSG00000120675	1.634	FALSE
DNAJC16	ENSG00000116138	0.933	FALSE
DNAJC17	ENSG00000104129	0.95	FALSE
DNAJC18	ENSG00000170464	1	FALSE
DNAJC19	ENSG00000205981	1.547	FALSE
DNAJC2	ENSG00000105821	0.466	FALSE
DNAJC21	ENSG00000168724	1.083	FALSE
DNAJC22	ENSG00000178401	1.374	FALSE
DNAJC24	ENSG00000170946	1.514	FALSE
DNAJC25	ENSG00000059769	0.961	FALSE
DNAJC25-GNG10	ENSG00000244115	1.919	FALSE
DNAJC27	ENSG00000115137	0.799	FALSE
DNAJC28	ENSG00000177692	0.972	FALSE
DNAJC3	ENSG00000102580	0.738	FALSE
DNAJC30	ENSG00000176410	1.484	FALSE
DNAJC4	ENSG00000110011	1.444	FALSE
DNAJC5	ENSG00000101152	0.205	TRUE
DNAJC5B	ENSG00000147570	1.356	FALSE
DNAJC5G	ENSG00000163793	1.019	FALSE
DNAJC6	ENSG00000116675	0.416	FALSE
DNAJC7	ENSG00000168259	0.389	TRUE
DNAJC8	ENSG00000126698	0.733	FALSE
DNAJC9	ENSG00000213551	0.842	FALSE
DNAL1	ENSG00000119661	1.47	FALSE
DNAL4	ENSG00000100246	1.443	FALSE
DNALI1	ENSG00000163879	1.202	FALSE
DNASE1	ENSG00000213918	1.46	FALSE
DNASE1L2	ENSG00000167968	1.748	FALSE
DNASE1L3	ENSG00000163687	1.122	FALSE
DNASE2	ENSG00000105612	1.195	FALSE
DNASE2B	ENSG00000137976	1.21	FALSE
DND1	ENSG00000256453	0.635	FALSE
DNER	ENSG00000187957	0.561	FALSE
DNHD1	ENSG00000179532	0.897	FALSE
DNLZ	ENSG00000213221	1.955	FALSE
DNM1	ENSG00000106976	0.417	FALSE
DNM1L	ENSG00000087470	0.506	FALSE
DNM2	ENSG00000079805	0.239	TRUE
DNM3	ENSG00000197959	0.689	FALSE
DNMBP	ENSG00000107554	0.664	FALSE
DNMT1	ENSG00000130816	0.15	TRUE
DNMT3A	ENSG00000119772	1.998	FALSE
DNMT3B	ENSG00000088305	0.396	TRUE
DNMT3L	ENSG00000142182	1.179	FALSE
DNPEP	ENSG00000123992	0.963	FALSE
DNPH1	ENSG00000112667	1.914	FALSE
DNTT	ENSG00000107447	0.942	FALSE
DNTTIP1	ENSG00000101457	0.673	FALSE
DNTTIP2	ENSG00000067334	0.976	FALSE
DOC2A	ENSG00000149927	0.974	FALSE
DOC2B	ENSG00000272636	1.371	FALSE
DOCK1	ENSG00000150760	0.637	FALSE
DOCK10	ENSG00000135905	0.649	FALSE
DOCK2	ENSG00000134516	0.421	FALSE
DOCK3	ENSG00000088538	0.298	TRUE
DOCK4	ENSG00000128512	0.445	FALSE
DOCK5	ENSG00000147459	0.679	FALSE
DOCK6	ENSG00000130158	0.87	FALSE
DOCK7	ENSG00000116641	0.551	FALSE
DOCK8	ENSG00000107099	0.622	FALSE
DOCK9	ENSG00000088387	0.425	FALSE
DOHH	ENSG00000129932	1.688	FALSE
DOK1	ENSG00000115325	0.74	FALSE
DOK2	ENSG00000147443	1.838	FALSE
DOK3	ENSG00000146094	1.47	FALSE
DOK4	ENSG00000125170	0.915	FALSE
DOK5	ENSG00000101134	0.932	FALSE
DOK6	ENSG00000206052	0.692	FALSE
DOK7	ENSG00000175920	1.658	FALSE
DOLK	ENSG00000175283	0.858	FALSE
DOLPP1	ENSG00000167130	0.69	FALSE
DONSON	ENSG00000159147	0.918	FALSE
DOP1A	ENSG00000083097	0.395	TRUE
DOP1B	ENSG00000142197	0.831	FALSE
DOT1L	ENSG00000104885	0.321	TRUE
DPAGT1	ENSG00000172269	0.835	FALSE
DPCD	ENSG00000166171	1.07	FALSE
DPEP1	ENSG00000015413	1.505	FALSE
DPEP2	ENSG00000167261	1.089	FALSE
DPEP2NB	ENSG00000263201	1.863	FALSE
DPEP3	ENSG00000141096	1.097	FALSE
DPF1	ENSG00000011332	0.415	FALSE
DPF2	ENSG00000133884	0.287	TRUE
DPF3	ENSG00000205683	0.491	FALSE
DPH1	ENSG00000108963	1.321	FALSE
DPH2	ENSG00000132768	0.914	FALSE
DPH3	ENSG00000154813	1.439	FALSE
DPH5	ENSG00000117543	1.295	FALSE
DPH6	ENSG00000134146	1.399	FALSE
DPH7	ENSG00000148399	1.37	FALSE
DPM1	ENSG00000000419	1.005	FALSE
DPM2	ENSG00000136908	1.274	FALSE
DPM3	ENSG00000179085	1.364	FALSE
DPP10	ENSG00000175497	0.378	TRUE
DPP3	ENSG00000254986	0.827	FALSE
DPP4	ENSG00000197635	0.901	FALSE
DPP6	ENSG00000130226	0.751	FALSE
DPP7	ENSG00000176978	1.707	FALSE
DPP8	ENSG00000074603	0.368	TRUE
DPP9	ENSG00000142002	0.647	FALSE
DPPA2	ENSG00000163530	1.004	FALSE
DPPA3	ENSG00000187569	1.113	FALSE
DPPA4	ENSG00000121570	0.901	FALSE
DPPA5	ENSG00000203909	1.484	FALSE
DPRX	ENSG00000204595	1.777	FALSE
DPT	ENSG00000143196	0.963	FALSE
DPY19L1	ENSG00000173852	0.633	FALSE
DPY19L2	ENSG00000177990	0.732	FALSE
DPY19L3	ENSG00000178904	0.673	FALSE
DPY19L4	ENSG00000156162	1.198	FALSE
DPY30	ENSG00000162961	0.747	FALSE
DPYD	ENSG00000188641	1.09	FALSE
DPYS	ENSG00000147647	1.029	FALSE
DPYSL2	ENSG00000092964	0.29	TRUE
DPYSL3	ENSG00000113657	0.391	TRUE
DPYSL4	ENSG00000151640	0.886	FALSE
DPYSL5	ENSG00000157851	0.268	TRUE
DQX1	ENSG00000144045	0.971	FALSE
DR1	ENSG00000117505	0.649	FALSE
DRAM1	ENSG00000136048	1.134	FALSE
DRAM2	ENSG00000156171	1.115	FALSE
DRAP1	ENSG00000175550	0.738	FALSE
DRAXIN	ENSG00000162490	1.082	FALSE
DRC1	ENSG00000157856	0.867	FALSE
DRC3	ENSG00000171962	1.056	FALSE
DRC7	ENSG00000159625	0.883	FALSE
DRD1	ENSG00000184845	0.252	TRUE
DRD2	ENSG00000149295	0.372	TRUE
DRD3	ENSG00000151577	0.604	FALSE
DRD4	ENSG00000069696	1.952	FALSE
DRD5	ENSG00000169676	1.851	FALSE
DRG1	ENSG00000185721	0.698	FALSE
DRG2	ENSG00000108591	0.932	FALSE
DRGX	ENSG00000165606	1.062	FALSE
DRICH1	ENSG00000189269	1.309	FALSE
DROSHA	ENSG00000113360	0.39	TRUE
DSC1	ENSG00000134765	0.951	FALSE
DSC2	ENSG00000134755	0.743	FALSE
DSC3	ENSG00000134762	1.271	FALSE
DSCAM	ENSG00000171587	0.28	TRUE
DSCAML1	ENSG00000177103	0.253	TRUE
DSCC1	ENSG00000136982	0.847	FALSE
DSE	ENSG00000111817	0.563	FALSE
DSEL	ENSG00000171451	0.743	FALSE
DSG1	ENSG00000134760	0.455	FALSE
DSG2	ENSG00000046604	0.764	FALSE
DSG3	ENSG00000134757	0.862	FALSE
DSG4	ENSG00000175065	1.061	FALSE
DSN1	ENSG00000149636	0.847	FALSE
DSP	ENSG00000096696	0.443	FALSE
DSPP	ENSG00000152591	1.271	FALSE
DST	ENSG00000151914	0.297	TRUE
DSTN	ENSG00000125868	1.005	FALSE
DSTYK	ENSG00000133059	0.445	FALSE
DTD1	ENSG00000125821	0.809	FALSE
DTD2	ENSG00000129480	1.429	FALSE
DTHD1	ENSG00000197057	1.034	FALSE
DTL	ENSG00000143476	0.635	FALSE
DTNA	ENSG00000134769	0.523	FALSE
DTNB	ENSG00000138101	0.936	FALSE
DTNBP1	ENSG00000047579	1.103	FALSE
DTWD1	ENSG00000104047	1.283	FALSE
DTWD2	ENSG00000169570	1.711	FALSE
DTX1	ENSG00000135144	0.74	FALSE
DTX2	ENSG00000091073	0.855	FALSE
DTX3	ENSG00000178498	0.595	FALSE
DTX3L	ENSG00000163840	0.686	FALSE
DTX4	ENSG00000110042	0.732	FALSE
DTYMK	ENSG00000168393	1.404	FALSE
DUOX1	ENSG00000137857	0.89	FALSE
DUOX2	ENSG00000140279	1.165	FALSE
DUOXA1	ENSG00000140254	1.012	FALSE
DUOXA2	ENSG00000140274	1.16	FALSE
DUS1L	ENSG00000169718	1.103	FALSE
DUS2	ENSG00000167264	0.875	FALSE
DUS3L	ENSG00000141994	1.139	FALSE
DUS4L	ENSG00000105865	1.178	FALSE
DUS4L-BCAP29	ENSG00000288558	1.245	FALSE
DUSP1	ENSG00000120129	0.691	FALSE
DUSP10	ENSG00000143507	0.704	FALSE
DUSP11	ENSG00000144048	1.286	FALSE
DUSP12	ENSG00000081721	0.945	FALSE
DUSP13	ENSG00000079393	1.407	FALSE
DUSP14	ENSG00000276023	0.766	FALSE
DUSP15	ENSG00000149599	1.5	FALSE
DUSP16	ENSG00000111266	0.502	FALSE
DUSP18	ENSG00000167065	0.984	FALSE
DUSP19	ENSG00000162999	1.516	FALSE
DUSP2	ENSG00000158050	1.442	FALSE
DUSP22	ENSG00000112679	1.407	FALSE
